Classifier,Dataset,Fold,Balanced,Train Size,Bankrupt in Train,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,AUC
LDA,Train,1,Yes,744,186,79,523,35,107,0.81,0.83,0.94,0.88,0.87
LDA,Test,1,N/A,744,186,31,2399,218,31,0.91,0.99,0.92,0.95,0.83
LogisticRegression,Train,1,Yes,744,186,69,526,32,117,0.8,0.82,0.94,0.88,0.87
LogisticRegression,Test,1,N/A,744,186,30,2431,186,32,0.92,0.99,0.93,0.96,0.83
DecisionTree,Train,1,Yes,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0
DecisionTree,Test,1,N/A,744,186,35,2122,495,27,0.81,0.99,0.81,0.89,0.69
RandomForest,Train,1,Yes,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0
RandomForest,Test,1,N/A,744,186,34,2409,208,28,0.91,0.99,0.92,0.95,0.86
KNN,Train,1,Yes,744,186,115,517,41,71,0.85,0.88,0.93,0.9,0.91
KNN,Test,1,N/A,744,186,33,2311,306,29,0.87,0.99,0.88,0.93,0.82
NaiveBayes,Train,1,Yes,744,186,86,504,54,100,0.79,0.83,0.9,0.87,0.85
NaiveBayes,Test,1,N/A,744,186,30,2318,299,32,0.88,0.99,0.89,0.93,0.82
SVM,Train,1,Yes,744,186,95,528,30,91,0.84,0.85,0.95,0.9,0.9
SVM,Test,1,N/A,744,186,32,2422,195,30,0.92,0.99,0.93,0.96,0.85
GradientBoosting,Train,1,Yes,744,186,166,550,8,20,0.96,0.96,0.99,0.98,0.99
GradientBoosting,Test,1,N/A,744,186,37,2347,270,25,0.89,0.99,0.9,0.94,0.85
LDA,Train,2,Yes,744,186,70,522,36,116,0.8,0.82,0.94,0.87,0.83
LDA,Test,2,N/A,744,186,31,2438,179,31,0.92,0.99,0.93,0.96,0.87
LogisticRegression,Train,2,Yes,744,186,57,529,29,129,0.79,0.8,0.95,0.87,0.83
LogisticRegression,Test,2,N/A,744,186,27,2473,144,35,0.93,0.99,0.94,0.97,0.86
DecisionTree,Train,2,Yes,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0
DecisionTree,Test,2,N/A,744,186,28,2154,463,34,0.81,0.98,0.82,0.9,0.64
RandomForest,Train,2,Yes,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0
RandomForest,Test,2,N/A,744,186,36,2455,162,26,0.93,0.99,0.94,0.96,0.88
KNN,Train,2,Yes,744,186,108,519,39,78,0.84,0.87,0.93,0.9,0.91
KNN,Test,2,N/A,744,186,31,2354,263,31,0.89,0.99,0.9,0.94,0.85
NaiveBayes,Train,2,Yes,744,186,102,491,67,84,0.8,0.85,0.88,0.87,0.83
NaiveBayes,Test,2,N/A,744,186,43,2265,352,19,0.86,0.99,0.87,0.92,0.84
SVM,Train,2,Yes,744,186,70,540,18,116,0.82,0.82,0.97,0.89,0.87
SVM,Test,2,N/A,744,186,28,2501,116,34,0.94,0.99,0.96,0.97,0.85
GradientBoosting,Train,2,Yes,744,186,151,548,10,35,0.94,0.94,0.98,0.96,0.99
GradientBoosting,Test,2,N/A,744,186,35,2385,232,27,0.9,0.99,0.91,0.95,0.86
LDA,Train,3,Yes,744,186,81,518,40,105,0.81,0.83,0.93,0.88,0.85
LDA,Test,3,N/A,744,186,19,2435,182,43,0.92,0.98,0.93,0.96,0.8
LogisticRegression,Train,3,Yes,744,186,71,526,32,115,0.8,0.82,0.94,0.88,0.85
LogisticRegression,Test,3,N/A,744,186,14,2452,165,48,0.92,0.98,0.94,0.96,0.8
DecisionTree,Train,3,Yes,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0
DecisionTree,Test,3,N/A,744,186,23,2223,394,39,0.84,0.98,0.85,0.91,0.61
RandomForest,Train,3,Yes,744,186,186,558,0,0,1.0,1.0,1.0,1.0,1.0
RandomForest,Test,3,N/A,744,186,24,2434,183,38,0.92,0.98,0.93,0.96,0.8
KNN,Train,3,Yes,744,186,111,521,37,75,0.85,0.87,0.93,0.9,0.91
KNN,Test,3,N/A,744,186,17,2371,246,45,0.89,0.98,0.91,0.94,0.73
NaiveBayes,Train,3,Yes,744,186,92,480,78,94,0.77,0.84,0.86,0.85,0.83
NaiveBayes,Test,3,N/A,744,186,22,2290,327,40,0.86,0.98,0.88,0.93,0.77
SVM,Train,3,Yes,744,186,85,535,23,101,0.83,0.84,0.96,0.9,0.88
